Societe,Statement,Indicateur,Indicateur_raw,Cle_indicateur,Date,Annee,Periode,Valeur,Occurrence,Devise,Echelle,Type_donnee,Source
AB inBev,Inconnu,(Remboursement)/émission d’emprunts,(Remboursement)/émission d’emprunts,remboursementemissiondemprunts,2015-12-31,2015,FY,457.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
AB inBev,Inconnu,(Remboursement)/émissions d’emprunts,(Remboursement)/émissions d’emprunts,remboursementemissionsdemprunts,2015-12-31,2015,FY,457.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
AB inBev,Inconnu,"Acquisition de filiales, sous déduction de la trésorerie acquise","Acquisition de filiales, sous déduction de la trésorerie acquise",acquisitiondefilialessousdeductiondelatresorerieacquise,2015-12-31,2015,FY,-990.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
AB inBev,Inconnu,Acquisition d’immobilisations corporelles et incorporelles,Acquisition d’immobilisations corporelles et incorporelles,acquisitiondimmobilisationscorporellesetincorporelles,2015-12-31,2015,FY,-4749.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
AB inBev,Inconnu,"Acquisition et cession de filiales, sous déduction de la trésorerie acquise/cédée","Acquisition et cession de filiales, sous déduction de la trésorerie acquise/cédée",acquisitionetcessiondefilialessousdeductiondelatresorerieacquisecedee,2015-12-31,2015,FY,-918.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
AB inBev,Inconnu,Acquisitions de participations ne donnant pas de contrôle,Acquisitions de participations ne donnant pas de contrôle,acquisitionsdeparticipationsnedonnantpasdecontrole,2015-12-31,2015,FY,-296.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
AB inBev,Inconnu,Actifs détenus en vue de la vente,Actifs détenus en vue de la vente,actifsdetenusenvuedelavente,2015-12-31,2015,FY,48.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
AB inBev,Inconnu,Actifs d’impôts différés,Actifs d’impôts différés,actifsdimpotsdifferes,2015-12-31,2015,FY,1181.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
AB inBev,Inconnu,Augmentation/(diminution) de la trésorerie et équivalents de trésorerie,Augmentation/(diminution) de la trésorerie et équivalents de trésorerie,augmentationdiminutiondelatresorerieetequivalentsdetresorerie,2015-12-31,2015,FY,-90.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
AB inBev,Inconnu,Augmentation/(diminution) des dettes commerciales et autres dettes,Augmentation/(diminution) des dettes commerciales et autres dettes,augmentationdiminutiondesdettescommercialesetautresdettes,2015-12-31,2015,FY,2348.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
AB inBev,Inconnu,Autre,Autre,autre,2015-12-31,2015,FY,-241.0,1,USD,million,Reel,AB_inBev_Clean.xlsx
